rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
67.7057,22.0544,19.7894,2.5154,0.3118,0.0900,0.0000,0.9200,1,1,0
61.8678,31.3225,29.6584,0.4040,0.3631,0.1200,0.0200,0.3300,1,1,0
46.4771,40.4250,43.5105,0.6491,0.4829,0.1700,0.1700,0.6600,0,1,0
35.1630,34.9326,34.3354,1.3770,0.4955,0.2500,0.2200,0.2400,1,-1,0
47.5462,43.4996,44.9730,1.3998,0.5040,0.0000,0.0600,0.8300,0,-1,0
59.2278,33.0549,34.5328,0.4999,0.5102,0.0800,0.1000,0.5600,1,-1,0
72.1243,22.4674,20.0313,5.6007,0.5113,0.2000,0.0000,2.4500,1,1,0
42.3905,22.0948,22.2288,0.6523,0.5891,0.2100,0.2200,0.0500,0,-1,0
57.4976,21.1280,22.0504,0.8436,0.3729,0.1000,0.1600,0.3900,0,-1,0
63.4499,23.0469,21.7288,3.4200,0.4270,1.0000,0.0700,0.0100,0,1,0
48.9388,16.5782,15.8614,2.8150,0.4954,0.4100,0.0800,0.5400,1,-1,0
62.3500,15.2657,13.7872,1.6328,0.7650,0.2600,0.1500,1.9500,0,-1,0
73.4953,20.8129,18.4053,5.3395,0.8923,0.5600,0.0300,1.6500,0,1,0
46.6796,35.3985,38.0538,0.4985,0.4831,0.0000,0.3200,0.2400,0,-1,0
63.3974,16.6312,15.8828,0.5402,0.3694,0.0300,0.3300,0.6000,0,1,0
56.0531,26.2286,27.5229,1.1267,0.4415,0.0400,0.1200,0.6300,0,1,0
40.3580,21.8589,21.1710,2.9948,0.4286,0.3300,0.4300,0.0700,0,-1,0
65.3319,20.8509,20.7490,2.0600,0.5382,0.0900,0.1500,1.8300,0,1,0
46.4490,22.3580,23.7659,0.3248,0.5355,0.0100,0.2300,0.3300,1,-1,1
27.2778,36.2372,33.8125,2.7119,0.5764,0.0100,0.5400,0.3200,0,-1,0
50.0240,38.0627,40.7333,4.8238,0.4324,0.3500,0.0000,0.3500,0,-1,0
51.6817,29.3776,29.7858,2.9696,0.5228,0.3000,0.5700,0.7000,0,-1,1
33.9237,27.0290,25.9114,3.4025,0.7191,0.0200,0.2500,1.7400,0,-1,0
57.6169,29.6527,31.6634,1.7151,0.9902,0.0400,0.2000,1.6900,0,-1,0
70.9219,14.0213,11.4875,3.4070,0.3833,0.0100,0.2400,1.0500,0,1,1
71.1422,29.1860,26.0945,3.3707,0.5073,0.6800,0.0700,0.5500,0,1,0
44.7991,14.2182,15.2300,2.5501,0.5478,0.0500,0.0000,1.0900,0,1,0
40.4632,12.9083,12.1563,2.1530,0.6901,0.0400,0.1200,0.7100,0,-1,0
57.8884,9.6896,10.0063,3.0979,0.4111,0.0000,0.0400,0.7600,1,1,0
36.6593,19.6454,20.3440,0.6002,0.4000,0.1500,0.0000,1.0000,0,-1,1
30.1149,18.9531,17.6421,1.3317,0.3356,0.0000,0.0600,0.7200,0,-1,0
45.1505,22.7114,23.7012,0.9668,0.4877,0.5300,0.0100,0.3100,1,-1,0
71.4100,20.8500,19.4921,2.1002,0.6149,0.2100,0.0300,1.7700,0,1,1
75.3647,45.3144,43.6370,1.5304,0.4521,0.3900,0.0400,0.6700,0,1,0
35.3265,32.5596,32.1117,10.7427,0.2736,0.0100,0.2600,0.2300,1,-1,0
58.2362,22.3128,22.1697,3.0096,0.3136,0.1500,0.1300,0.7400,1,-1,1
