directionIntent,rsi,rvol,atrPercentage,prevADX,bodySize,target_win
-1,26.9091,1.2102,0.2260,24.8079,0.5600,0
-1,19.4046,2.3520,0.2648,30.8667,0.6800,1
-1,11.2689,3.1069,0.4184,40.9532,0.7600,0
-1,39.5019,1.0584,0.5003,49.1630,0.2400,0
1,69.9807,1.2917,0.3152,25.5450,1.1400,0
1,58.2152,2.9585,0.3855,28.4172,1.0700,0
1,48.1757,0.5041,0.2636,23.4072,0.2800,0
-1,40.1039,0.5381,0.2770,17.5677,0.0001,0
-1,25.2973,3.7862,0.3129,21.4378,1.0400,1
-1,27.3732,4.5706,0.5869,38.7955,1.1000,1
-1,24.6999,2.5639,0.5444,59.3147,0.8300,0
-1,39.6725,0.4755,0.6118,58.6903,0.4000,0
1,66.1145,1.3433,0.3620,20.9856,1.3300,0
1,42.7868,3.6963,0.5792,18.0204,1.5600,0
-1,35.0833,4.2090,0.4252,21.9714,0.8700,0
-1,54.2199,0.5311,0.4264,18.8749,0.4100,0
1,65.7382,0.8599,0.2558,19.9347,0.3400,0
1,40.7141,2.2869,0.3669,21.0451,0.9100,1
1,68.8491,0.8200,0.1839,29.3381,0.0700,0
1,47.6052,1.4974,0.1894,28.7454,0.1800,1
1,71.8399,1.1926,0.1934,24.7972,0.3100,0
1,66.7067,1.5529,0.2238,32.8552,0.3500,0
-1,37.3542,2.5527,0.2611,14.7568,0.3500,0
1,58.0914,2.1168,0.2903,13.0343,0.1000,0
1,51.7161,0.7440,0.3549,23.6275,0.2200,0
-1,39.9364,1.8139,0.3920,21.7985,0.4800,0
-1,32.4038,1.7062,0.3970,18.9580,0.9100,0
-1,29.7150,3.2219,0.3387,23.7333,1.4600,1
-1,25.0336,1.9997,0.4665,41.7048,0.1800,0
-1,46.1716,0.8679,0.5967,49.9554,0.3200,0
-1,54.1391,0.5455,0.3066,35.7120,0.5200,0
1,63.9598,3.4444,0.2439,14.6604,0.4000,0
1,56.4451,0.9623,0.2553,16.9505,0.1500,0
1,47.6450,1.9497,0.2921,11.8520,0.1900,0
-1,31.0558,1.1152,0.3109,20.9050,0.2000,0
1,61.8525,1.5967,0.2294,27.2761,0.3100,0
1,45.7273,0.3873,0.2208,18.4048,0.1000,0
-1,34.6700,7.0575,0.2421,18.8701,0.3800,0
-1,46.7565,0.3321,0.3287,30.3853,0.4300,0
1,57.6040,0.5885,0.3570,31.2836,0.4700,0
-1,54.6981,0.6217,0.2945,24.2042,0.1200,0
